id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,place_num,place
1,15,NA,NA,1516,1718,us ug,Belong,Some Place,b1,JSMA
1,15,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
1,15,NA,NA,1516,1718,us ug,Belong,Some Place,b3,PLC
2,18,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Library
2,18,NA,NA,1516,1718,us ug,Belong,Some Place,b2,PLC
2,18,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
3,19,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
3,19,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
3,19,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Straub.Earl
4,28,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
4,28,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
4,28,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Walton
5,29,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Allen
5,29,NA,NA,1516,1718,us ug,Belong,Some Place,b2,EMU
5,29,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
6,34,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
6,34,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Hamilton
6,34,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Library
7,45,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
7,45,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
7,45,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
8,48,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
8,48,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
8,48,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
9,51,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
9,51,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
9,51,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
10,53,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Lawrence
10,53,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
10,53,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other
11,72,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
11,72,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
11,72,NA,NA,1516,1718,us ug,Belong,Some Place,b3,PLC
12,76,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LLC
12,76,NA,NA,1516,1718,us ug,Belong,Some Place,b2,No Place
12,76,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
13,77,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
13,77,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
13,77,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
14,81,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LillisComplex
14,81,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
14,81,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Oregon
15,82,NA,NA,1516,1718,us ug,Belong,Some Place,b1,HEDCO
15,82,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
15,82,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Tennis
16,93,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Autzen
16,93,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyEd
16,93,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
17,98,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Condon
17,98,NA,NA,1516,1718,us ug,Belong,Some Place,b2,MillerTheater
17,98,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
18,102,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
18,102,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Hamilton
18,102,NA,NA,1516,1718,us ug,Belong,Some Place,b3,JSMA
19,114,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Hamilton
19,114,NA,NA,1516,1718,us ug,Belong,Some Place,b2,KnightLaw
19,114,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Library
20,115,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Library
20,115,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LillisComplex
20,115,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other
21,120,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
21,120,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
21,120,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Oregon
22,122,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Library
22,122,NA,NA,1516,1718,us ug,Belong,Some Place,b2,PLC
22,122,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Straub.Earl
23,128,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Library
23,128,NA,NA,1516,1718,us ug,Belong,Some Place,b2,No Place
23,128,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
24,138,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
24,138,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Frohnmayer
24,138,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Library
25,146,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
25,146,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
25,146,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LillisComplex
26,147,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
26,147,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
26,147,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
27,149,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
27,149,NA,NA,1516,1718,us ug,Belong,Some Place,b2,OPBarn
27,149,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
28,150,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Library
28,150,NA,NA,1516,1718,us ug,Belong,Some Place,b2,McKenzie
28,150,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
29,155,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
29,155,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
29,155,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
30,169,NA,NA,1516,1718,us ug,Belong,Some Place,b1,KnightLaw
30,169,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Other
30,169,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
31,171,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Autzen
31,171,NA,NA,1516,1718,us ug,Belong,Some Place,b2,EMU
31,171,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LillisComplex
32,172,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Allen
32,172,NA,NA,1516,1718,us ug,Belong,Some Place,b2,GSH
32,172,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Library
33,179,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
33,179,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Hendricks
33,179,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Library
34,182,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LillisComplex
34,182,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
34,182,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Straub.Earl
35,183,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Allen
35,183,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Frohnmayer
35,183,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
36,196,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
36,196,NA,NA,1516,1718,us ug,Belong,Some Place,b2,GSH
36,196,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Lawrence
37,210,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
37,210,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
37,210,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
38,212,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
38,212,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Millrace
38,212,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Straub.Earl
39,223,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Ford
39,223,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
39,223,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
40,224,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LokeyComplex
40,224,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Oregon
40,224,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
41,276,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
41,276,NA,NA,1516,1718,us ug,Belong,Some Place,b2,HEDCO
41,276,NA,NA,1516,1718,us ug,Belong,Some Place,b3,McKenzie
42,280,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
42,280,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LillisComplex
42,280,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
43,284,NA,NA,1516,1718,us ug,Belong,Some Place,b1,HaywardField
43,284,NA,NA,1516,1718,us ug,Belong,Some Place,b2,MattKnight
43,284,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b3,MattKnight
45,302,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
