id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,place_num,place
3,19,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Computer
3,19,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Craft
3,19,NA,NA,1516,1718,us ug,Belong,Some Place,b3,FreshMarket
3,19,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
3,19,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
3,19,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
4,28,NA,NA,1516,1718,us ug,Belong,Some Place,b1,CSI.RC
4,28,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
4,28,NA,NA,1516,1718,us ug,Belong,Some Place,b3,MCC
4,28,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
4,28,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
4,28,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
5,29,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Fishbowl
5,29,NA,NA,1516,1718,us ug,Belong,Some Place,b2,FSL
5,29,NA,NA,1516,1718,us ug,Belong,Some Place,b3,KWVA
5,29,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
5,29,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
5,29,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
6,34,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Courtyard
6,34,NA,NA,1516,1718,us ug,Belong,Some Place,b2,FallingSky
6,34,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Fishbowl
6,34,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
6,34,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
6,34,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
8,48,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Craft
8,48,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Ticket
8,48,NA,NA,1516,1718,us ug,Belong,Some Place,b3,WC
8,48,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
8,48,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
8,48,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
11,72,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Computer
11,72,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
11,72,NA,NA,1516,1718,us ug,Belong,Some Place,b3,MCC
11,72,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
11,72,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
11,72,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
18,102,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Craft
18,102,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LGBTQA3
18,102,NA,NA,1516,1718,us ug,Belong,Some Place,b3,WC
18,102,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
18,102,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
18,102,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
21,120,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LGBTQA3
21,120,NA,NA,1516,1718,us ug,Belong,Some Place,b2,MC
21,120,NA,NA,1516,1718,us ug,Belong,Some Place,b3,WC
21,120,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
21,120,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
21,120,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
24,138,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Craft
24,138,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
24,138,NA,NA,1516,1718,us ug,Belong,Some Place,b3,FreshMarket
24,138,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
24,138,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
24,138,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
25,146,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Holden
25,146,NA,NA,1516,1718,us ug,Belong,Some Place,b2,O
25,146,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Starbucks
25,146,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
25,146,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
25,146,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
27,149,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EastAtrium
27,149,NA,NA,1516,1718,us ug,Belong,Some Place,b2,O
27,149,NA,NA,1516,1718,us ug,Belong,Some Place,b3,OP
27,149,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
27,149,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
27,149,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
31,171,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Craft
31,171,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
31,171,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other1
31,171,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
31,171,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
31,171,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
33,179,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Fishbowl
33,179,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Mills
33,179,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SouthAtrium
33,179,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
33,179,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
33,179,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
36,196,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Ballroom
36,196,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Courtyard
36,196,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Taylor
36,196,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
36,196,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
36,196,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
38,212,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EastAtrium
38,212,NA,NA,1516,1718,us ug,Belong,Some Place,b2,O
38,212,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
38,212,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
38,212,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
38,212,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
41,276,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Craft
41,276,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
41,276,NA,NA,1516,1718,us ug,Belong,Some Place,b3,FSL
41,276,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
41,276,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
41,276,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
42,280,NA,NA,1516,1718,us ug,Belong,Some Place,b1,DuckStore
42,280,NA,NA,1516,1718,us ug,Belong,Some Place,b2,FSL
42,280,NA,NA,1516,1718,us ug,Belong,Some Place,b3,MCC
42,280,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
42,280,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
42,280,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Ballroom
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b2,CraterLake
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Holden
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
45,302,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Ballroom
45,302,NA,NA,1516,1718,us ug,Belong,Some Place,b2,MCC
45,302,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Mills
45,302,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
45,302,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
45,302,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
46,303,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Courtyard
46,303,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
46,303,NA,NA,1516,1718,us ug,Belong,Some Place,b3,O
46,303,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
46,303,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
46,303,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
47,314,NA,NA,1516,1718,us ug,Belong,Some Place,b1,FallingSky
47,314,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
47,314,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Lobisser
47,314,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
47,314,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
47,314,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
49,316,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Courtyard
49,316,NA,NA,1516,1718,us ug,Belong,Some Place,b2,FallingSky
49,316,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Fishbowl
49,316,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
49,316,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
49,316,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
51,324,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Fishbowl
51,324,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Other1
51,324,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Plaza
51,324,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
51,324,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
51,324,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
53,330,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Fishbowl
53,330,NA,NA,1516,1718,us ug,Belong,Some Place,b2,McMillan
53,330,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other2
53,330,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
53,330,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
53,330,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
55,348,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Call
55,348,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Craft
55,348,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Mills
55,348,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
55,348,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
55,348,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
61,366,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EastAtrium
61,366,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Mills
61,366,NA,NA,1516,1718,us ug,Belong,Some Place,b3,OP
61,366,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
61,366,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
61,366,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
62,367,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Courtyard
62,367,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
62,367,NA,NA,1516,1718,us ug,Belong,Some Place,b3,O
62,367,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
62,367,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
62,367,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
64,371,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LGBTQA3
64,371,NA,NA,1516,1718,us ug,Belong,Some Place,b2,WC
64,371,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
64,371,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
64,371,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
64,371,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
65,374,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Courtyard
65,374,NA,NA,1516,1718,us ug,Belong,Some Place,b2,FallingSky
65,374,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Fishbowl
65,374,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
65,374,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
65,374,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
68,379,NA,NA,1516,1718,us ug,Belong,Some Place,b1,MCC
68,379,NA,NA,1516,1718,us ug,Belong,Some Place,b2,SouthAtrium
68,379,NA,NA,1516,1718,us ug,Belong,Some Place,b3,WC
68,379,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
68,379,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
68,379,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
70,385,NA,NA,1516,1718,us ug,Belong,Some Place,b1,ASUO.SGES
70,385,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Courtyard
70,385,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Fishbowl
70,385,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
70,385,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
70,385,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
71,390,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Fishbowl
71,390,NA,NA,1516,1718,us ug,Belong,Some Place,b2,MCC
71,390,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
71,390,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
71,390,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
71,390,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
72,398,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Courtyard
72,398,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
72,398,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Plaza
72,398,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
72,398,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
72,398,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
75,411,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Computer
75,411,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Craft
75,411,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other2
75,411,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
75,411,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
75,411,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
76,418,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Craft
76,418,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
