id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,b1,b2,b3,b4,b5,b6,db1,db2,db3,db4,db5,db6
3,19,NA,NA,1516,1718,us ug,Belong,Some Place,Computer,Craft,FreshMarket,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,28,NA,NA,1516,1718,us ug,Belong,Some Place,CSI.RC,Fishbowl,MCC,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,29,NA,NA,1516,1718,us ug,Belong,Some Place,Fishbowl,FSL,KWVA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,34,NA,NA,1516,1718,us ug,Belong,Some Place,Courtyard,FallingSky,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,48,NA,NA,1516,1718,us ug,Belong,Some Place,Craft,Ticket,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,72,NA,NA,1516,1718,us ug,Belong,Some Place,Computer,Fishbowl,MCC,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,102,NA,NA,1516,1718,us ug,Belong,Some Place,Craft,LGBTQA3,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,120,NA,NA,1516,1718,us ug,Belong,Some Place,LGBTQA3,MC,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,138,NA,NA,1516,1718,us ug,Belong,Some Place,Craft,Fishbowl,FreshMarket,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,146,NA,NA,1516,1718,us ug,Belong,Some Place,Holden,O,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,149,NA,NA,1516,1718,us ug,Belong,Some Place,EastAtrium,O,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,171,NA,NA,1516,1718,us ug,Belong,Some Place,Craft,Fishbowl,Other1,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,179,NA,NA,1516,1718,us ug,Belong,Some Place,Fishbowl,Mills,SouthAtrium,NA,NA,NA,NA,NA,NA,NA,NA,NA
