ayear,level,place,full_place,agg_place
1718,campus,Agate,Agate,Agate
1718,campus,AgateApts,Agate Apts,University Housing
1718,campus,Alder,Alder,Alder
1718,campus,Allen,Allen,Allen
1718,campus,Autzen,Autzen Stadium,Autzen Complex
1718,campus,Baker,Baker,Baker
1718,campus,Barnhart,Barnhart,University Housing
1718,campus,Bean,Bean,University Housing
1718,campus,Berwick,Berwick,Berwick
1718,campus,Bowerman,Bowerman,Bowerman
1718,campus,Carson,Carson,University Housing
1718,campus,Cemetery,Cemetery,Cemetery
1718,campus,CentralKitchen,Central Kitchen,Central Kitchen
1718,campus,CentralPower,Central Power,Central Power
1718,campus,Chapman,Chapman,Chapman
1718,campus,ClinicalServices,Clinical Services,Clinical Services
1718,campus,CMER,CMER,CMER
1718,campus,CollierHouse,Collier,Collier
1718,campus,Condon,Condon,Condon
1718,campus,CPFM,Campus Planning and Facilities Management,Campus Planning and Facilities Management
1718,campus,Deady,University,University
1718,campus,DuckStore,Duck Store,Duck Store
1718,campus,EdAnnex,Education Annex,Education Annex
1718,campus,EMU,Erb Memorial Union,Erb Memorial Union
1718,campus,Esslinger,Esslinger,Esslinger
1718,campus,FineArtsStudios,Fine Arts Studios,Fine Arts Studios
1718,campus,Ford,Ford,Ford
1718,campus,Franklin,Franklin,Franklin
1718,campus,Friendly,Friendly,Friendly
1718,campus,Frohnmayer,Frohnmayer,Frohnmayer
1718,campus,Gerlinger,Gerlinger,Gerlinger
1718,campus,GerlingerAnnex,Gerlinger Annex,Gerlinger Annex
1718,campus,GradVillage,Grad Village,University Housing
1718,campus,GSH,Global Scholars,University Housing
1718,campus,Hamilton,Hamilton,University Housing
1718,campus,HammerField,Hammer Field,Hammer Field
1718,campus,HaywardField,Hayward Field,Hayward Field
1718,campus,HCTCenters,University Health Services,University Health Services
1718,campus,HEDCO,HEDCO,HEDCO
1718,campus,Hendricks,Hendricks,Hendricks
1718,campus,InnovationCenter,Innovation Center,Innovation Center
1718,campus,Jaqua,Jaqua,Jaqua
1718,campus,Johnson,Johnson,Johnson
1718,campus,JSMA,Jordan Schnitzer Museum of Art,Jordan Schnitzer Museum of Art
1718,campus,KalapuyaIlihi,Kalapuya Ilihi,University Housing
1718,campus,KnightLaw,Knight Law,Knight Law
1718,campus,LawClinic.Ombuds,Law Clinic/Ombuds,Law Clinic/Ombuds
1718,campus,Lawrence,Lawrence,Lawrence
1718,campus,Library,Library,Library
1718,campus,LillisComplex,Lillis Complex,Lillis Complex
1718,campus,LLC,Living Learning Center,University Housing
1718,campus,LokeyComplex,Lokey Complex,Lokey Complex
1718,campus,LokeyEd,Lokey Education,Lokey Education
1718,campus,Longhouse,Many Nations Longhouse,Many Nations Longhouse
1718,campus,MacCourt,McArthur Court,McArthur Court
1718,campus,MattKnight,Matthew Knight Arena,Matthew Knight Arena
1718,campus,McKenzie,McKenzie,McKenzie
1718,campus,Mill10th,10th & Mill,10th & Mill
1718,campus,MillerTheater,Miller Theatre,Miller Theatre
1718,campus,Millrace,Millrace,Millrace
1718,campus,MillraceStudios,Millrace Studios,Millrace Studios
1718,campus,MNCH,Museum of Natural and Cultural History,Museum of Natural and Cultural History
1718,campus,MSCC,Moss St Childrens Center,Moss St Childrens Center
1718,campus,Olum,Olum,Olum
1718,campus,OPBarn,Outdoor Program Barn,Outdoor Program Barn
1718,campus,Oregon,Oregon,Oregon
1718,campus,PeaceHealth,Peace Health,Peace Health
1718,campus,PLC,Prince Lucien Campbell,Prince Lucien Campbell
1718,campus,Riley,Riley,University Housing
1718,campus,SaundersStadium,Saunders Stadium,Saunders Stadium
1718,campus,SpencerView,Spencer View,University Housing
1718,campus,SRC,Student Recreation Center,Student Recreation Complex
1718,campus,Earl,Straub/Earl,Straub/Earl
1718,campus,Straub.Earl,Straub/Earl,Straub/Earl
1718,campus,SusanCampbell,Susan Campbell,Susan Campbell
1718,campus,Tennis,Tennis Indoor,Student Recreation Complex
1718,campus,TennisOutdoor,Tennis Outdoor,Student Recreation Complex
1718,campus,Thompson,Thompsons,Thompson's University Center
1718,campus,TurfField1,Turf Field 1,Student Recreation Complex
1718,campus,TurfField2,Turf Field 2,Student Recreation Complex
1718,campus,TurfField3,Turf Field 3,Student Recreation Complex
1718,campus,TurfField4,Turf Field 4,Student Recreation Complex
1718,campus,UOAnnex,UO Annex,UO Annex
1718,campus,UOPoliceDept,UO Police Dept,UO Police Dept
1718,campus,UrbanFarm,Urban Farm,Urban Farm
1718,campus,Walton,Walton,University Housing
1718,campus,Woodshop,Woodshop,Woodshop
1718,campus,Zebrafish,Zebrafish Lab,Zebrafish Lab
1718,campus,LERC,LERC Military Science,LERC Military Science
1718,campus,No Place,No Place,No Place
1718,campus,Other,Other,Other
1718,emu,Admin,Admin Offices,Admin Offices
1718,emu,Alsea,Alsea,Alsea
1718,emu,ASUO.SGES,ASUO Student Governance Center,ASUO Student Governance Center
1718,emu,Ballroom,Ballroom,Ballroom
1718,emu,BallroomLobby,Ballroom Lobby,Ballroom Lobby
1718,emu,BallroomStage,Ballroom Stage,Ballroom Stage
1718,emu,BallroomStorage,Ballroom Storage,Ballroom Storage
1718,emu,Board,Board Room,Board Room
1718,emu,Call,Call Center,Call Center
1718,emu,Cedar,Cedar,Cedar
1718,emu,Chipotle,Chipotle,Food & Drink
1718,emu,ClubSports,Club Sports,Club Sports
1718,emu,Computer,Computer Lab,Computer Lab
1718,emu,Contemplation,Contemplation,Contemplation
1718,emu,Copy,Campus Copy,Campus Copy
1718,emu,Coquille,Coquille,Coquille
1718,emu,Courtyard,Courtyard,Courtyard
1718,emu,Craft,Craft Center,Craft Center
1718,emu,CraftOutdoor,Craft Center - Outdoor,Craft Center - Outdoor
1718,emu,CraterLake,Crater Lake,Crater Lake
1718,emu,CSI.RC,Center for Student Involvement Resource Center,Center for Student Involvement
1718,emu,CSIS,Center for Student Involvement Support,Center for Student Involvement
1718,emu,DiamondLake,Diamond Lake,Diamond Lake
1718,emu,DuckNest,Duck Nest,Duck Nest
1718,emu,DuckStore,Duck Store,Duck Store
1718,emu,EastAtrium,Atrium East,Atrium East
1718,emu,Elm,Elm,Elm
1718,emu,Emerald,Emerald Media Group,Emerald Media Group
1718,emu,FallingSky,Falling Sky Pizzeria and Public House,Food & Drink
1718,emu,Fishbowl,Fishbowl,Fishbowl
1718,emu,FreshMarket,Fresh Market,Food & Drink
1718,emu,FSL,Fraternity and Sorority Life,Fraternity and Sorority Life
1718,emu,GreenRoom,Green Room,Green Room
1718,emu,Gumwood,Gumwood,Gumwood
1718,emu,Hallway1stFloor,Hallway 1,Hallway
1718,emu,Hallway2ndFloor,Hallway 2,Hallway
1718,emu,Holden,Holden Center,Holden Center
1718,emu,ID,ID Card Services,ID Card Services
1718,emu,ISA,International Student Association,International Student Association
1718,emu,ISG,International Student Groups,International Student Groups
1718,emu,Joes,Joe's Burgers,Food & Drink
1718,emu,KWVA,KWVA Radio,KWVA Radio
1718,emu,Lewis,Mallard,Mallard
1718,emu,LGBTQA3,LGBTQA3,LGBTQA3
1718,emu,Lightning,Lightning,Lightning
1718,emu,Lobby,Other Level 1,Other
1718,emu,Lobby3rdFloor,Other Level 3,Other
1718,emu,Lobisser,East Lounge,East Lounge
1718,emu,LSSA,Legal Services Student Advocacy,Legal Services Student Advocacy
1718,emu,Maple,Maple,Maple
1718,emu,MC,Men's Center,Men's Center
1718,emu,MCC,Multicultural Center,Multicultural Center
1718,emu,McMillan,McMillan Art Gallery,McMillan Art Gallery
1718,emu,Metolius,Metolius,Metolius
1718,emu,Miller,Miller,Miller
1718,emu,Mills,Mills International Center,Mills International Center
1718,emu,NSU,Nontraditional Student Union,Nontraditional Student Union
1718,emu,O,O Lounge,O Lounge
1718,emu,Oak,Oak,Oak
1718,emu,ODesk,Other Ground Level,Other
1718,emu,OP,Outdoor & Bike Program,Outdoor & Bike Program
1718,emu,Owyhee,Owyhee,Owyhee
1718,emu,Panda,Panda Express,Food & Drink
1718,emu,PizzeriaKitchen,Pizzeria Kitchen,Pizzeria Kitchen
1718,emu,Plaza,Other Ground Level,Other
1718,emu,Recovery,Collegiate Recover Center,Collegiate Recover Center
1718,emu,Redwood,Redwood Auditorium,Redwood Auditorium
1718,emu,ROAR,ROAR,ROAR
1718,emu,Rogue,Rogue,Rogue
1718,emu,SAIT,Student Affairs Information Technology,Student Affairs Information Technology
1718,emu,ServeryStorage,Servery Storage,Servery Storage
1718,emu,SES,Scheduling and Event Services,Scheduling and Event Services
1718,emu,SouthAtrium,Atrium South,Atrium South
1718,emu,Spruce,Spruce,Spruce
1718,emu,SSC,Student Sustainability Center,Student Sustainability Center
1718,emu,Stairs1,Stairs,Stairs
1718,emu,Stairs2,Stairs,Stairs
1718,emu,Starbucks,Starbucks,Food & Drink
1718,emu,Student,Student Lounge,Student Lounge
1718,emu,Subway,Subway,Food & Drink
1718,emu,Swindells,Swindells,Swindells
1718,emu,Taylor,Taylor Lounge,Taylor Lounge
1718,emu,Thunder,Thunder,Thunder
1718,emu,Ticket,Ticket Office,Ticket Office
1718,emu,Townshend,Townshend's Tea,Food & Drink
1718,emu,Umpqua,Umpqua,Umpqua
1718,emu,VC,Veterans Center,Veterans Center
1718,emu,WC,Women's Center,Women's Center
1718,emu,Willow,Willow,Willow
1718,emu,Other1,Other 1,Other
1718,emu,Other2,Other 2,Other
1718,emu,Skylight,Skylight Lounge,Skylight Lounge
1819,campus,Agate,Agate,Agate
1819,campus,AgateApts,Agate Apts,University Housing
1819,campus,Alder,Alder,Alder
1819,campus,Allen,Allen,Allen
1819,campus,Barnhart,Barnhart,University Housing
1819,campus,Bean,Bean,University Housing
1819,campus,Berwick,Berwick,Berwick
1819,campus,Carson,Carson,University Housing
1819,campus,Cascade,Cascade,Lokey Complex
1819,campus,CascAnnex.OnyxBr,Cascade Annex / Onyx Bridge,Lokey Complex
1819,campus,Cemetery,Cemetery,Cemetery
1819,campus,CentralKitchen,Central Kitchen,Central Kitchen
1819,campus,CentralPower,Central Power,Central Power
1819,campus,Chapman,Chapman,Chapman
1819,campus,CLawn1,Central Lawn,Lawn
1819,campus,CLawn2,Central Lawn,Lawn
1819,campus,CLawn3,Central Lawn,Lawn
1819,campus,CLawn4,Central Lawn,Lawn
1819,campus,CLawn5,Central Lawn,Lawn
1819,campus,CLawn6,Central Lawn,Lawn
1819,campus,ClinicalServices,Clinical Services,Clinical Services
1819,campus,CollierHouse,Collier,Collier
1819,campus,Columbia,Columbia,Lokey Complex
1819,campus,Condon,Condon,Condon
1819,campus,CPFM,Campus Planning and Facilities Management,Campus Planning and Facilities Management
1819,campus,Deady,University,University
1819,campus,Deschutes,Deschutes,Lokey Complex
1819,campus,DuckStore,Duck Store,Duck Store
1819,campus,Earl,Earl,University Housing
1819,campus,EdAnnex,Education Annex,Education Annex
1819,campus,ELawn1,East Lawn,Lawn
1819,campus,ELawn2,East Lawn,Lawn
1819,campus,ELawn3,East Lawn,Lawn
1819,campus,ELawn4,East Lawn,Lawn
1819,campus,ELawn5,East Lawn,Lawn
1819,campus,EMU,Erb Memorial Union,Erb Memorial Union
1819,campus,EMUtheater,Amphitheater,Erb Memorial Union
1819,campus,Esslinger,Esslinger,Esslinger
1819,campus,Fenton,Fenton,Lillis Complex
1819,campus,FineArtsStudios,Fine Arts Studios,Fine Arts Studios
1819,campus,Ford,Ford,Ford
1819,campus,Franklin,Franklin,Franklin
1819,campus,Friendly,Friendly,Friendly
1819,campus,Frohnmayer,Frohnmayer,Frohnmayer
1819,campus,Gerlinger,Gerlinger,Gerlinger
1819,campus,GerlingerAnnex,Gerlinger Annex,Gerlinger Annex
1819,campus,GradVillage,Grad Village,University Housing
1819,campus,GSH,Global Scholars,University Housing
1819,campus,Hamilton,Hamilton,University Housing
1819,campus,HaywardConstruction1,Hayward Construction 1,Hayward Construction
1819,campus,HaywardConstruction2,Hayward Construction 2,Hayward Construction
1819,campus,HaywardConstruction3,Hayward Construction 3,Hayward Construction
1819,campus,HaywardConstruction4,Hayward Construction 4,Hayward Construction
1819,campus,HaywardField,Hayward Field,Hayward Field
1819,campus,HCT,University Health Services,University Health Services
1819,campus,HEDCO,HEDCO,HEDCO
1819,campus,Hendricks,Hendricks,Hendricks
1819,campus,Huestis,Huestis,Lokey Complex
1819,campus,InnovationCenter,Innovation Center,Innovation Center
1819,campus,Jaqua,Jaqua,Jaqua
1819,campus,Johnson,Johnson,Johnson
1819,campus,JSMA,Jordan Schnitzer Museum of Art,Jordan Schnitzer Museum of Art
1819,campus,KalapuyaIlihi,Kalapuya Ilihi,University Housing
1819,campus,KCAnnex,KC Annex,KC Annex
1819,campus,Klamath,Klamath,Lokey Complex
1819,campus,KnightCampus,Knight Campus,Knight Campus
1819,campus,KnightLaw,Knight Law,Knight Law
1819,campus,Lawrence,Lawrence,Lawrence
1819,campus,LC.Ombuds,Law Clinic/Ombuds,Law Clinic/Ombuds
1819,campus,LERCMilitarySci,LERC Military Science,LERC Military Science
1819,campus,Library,Library,Library
1819,campus,LillisComplex,Lillis Complex,Lillis Complex
1819,campus,LISB,Lewis Integrative Science,Lokey Complex
1819,campus,LLCNorth,Living Learning Center North,University Housing
1819,campus,LLCSouth,Living Learning Center South,University Housing
1819,campus,LokeyEd,Lokey Education,Lokey Education
1819,campus,Longhouse,Many Nations Longhouse,Many Nations Longhouse
1819,campus,MacCourt,McArthur Court,McArthur Court
1819,campus,MattKnight,Matthew Knight Arena,Matthew Knight Arena
1819,campus,McKenzie,McKenzie,McKenzie
1819,campus,Mill10th,10th & Mill,10th & Mill
1819,campus,MillerTheater,Miller Theatre,Miller Theatre
1819,campus,Millrace,Millrace,Millrace
1819,campus,MillraceStudios,Millrace Studios,Millrace Studios
1819,campus,MNCH,Museum of Natural and Cultural History,Museum of Natural and Cultural History
1819,campus,MSCC,Moss St Childrens Center,Moss St Childrens Center
1819,campus,NWLawn1,NW Lawn,Lawn
1819,campus,NWLawn2,NW Lawn,Lawn
1819,campus,NWLawn3,NW Lawn,Lawn
1819,campus,NWLawn4,NW Lawn,Lawn
1819,campus,NWLawn5,NW Lawn,Lawn
1819,campus,Olum,Olum,Olum
1819,campus,OPBarn,Outdoor Program Barn,Outdoor Program Barn
1819,campus,Oregon,Oregon,Oregon
1819,campus,Other,Other,Other
