id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,place,reason
457,1367,NA,NA,1718,1718,us ug,Belong,LillisComplex,my major where most of my classes are
20,115,NA,NA,1516,1718,us ug,Belong,LillisComplex,i take a lot of classes here
423,1304,NA,NA,1718,1718,us ug,Belong,LillisComplex,academic clubs people in my major
345,1180,NA,NA,1718,1718,us ug,Belong,LillisComplex,just a good vibe
264,951,NA,NA,1617,1718,us ug,Belong,LillisComplex,its fun more tables needed though
228,833,NA,NA,1617,1718,us ug,Belong,LillisComplex,i spend a majority of my time there and am a business major
110,503,NA,NA,1516,1718,us ug,Belong,LillisComplex,people in my line of work students with a similar career goal
317,1118,NA,NA,1617,1718,us ug,Belong,LillisComplex,math major fenton hall has homework help and i like the tutors
291,1023,NA,NA,1617,1718,us ug,Belong,LillisComplex,there a diverse group of people
188,725,NA,NA,1617,1718,us ug,Belong,LillisComplex,i feel very accepted in lillis because i am surrounded by fellow classmates and other accounting majors the building is well lit there is a cafe and there is ample room for group study sessions
209,782,NA,NA,1617,1718,us ug,Belong,LillisComplex,i have the same interests as others who frequent this building
219,804,NA,NA,1617,1718,us ug,Belong,LillisComplex,like minded people supportive faculty familiarity with locale because of frequency of visits and amount of classes in the area
169,680,NA,NA,1617,1718,us ug,Belong,LillisComplex,the business school is for the most part a very inviting place and people are friendly and willing to work together
369,1216,NA,NA,1718,1718,us ug,Belong,LillisComplex,it is the center of my major so i spend a lot of time in there
63,368,NA,NA,1516,1718,us ug,Belong,LillisComplex,no one judges you for anything
193,743,NA,NA,1617,1718,us ug,Belong,LillisComplex,i like to study here and there others that do too if there was a problem people would step up to help
25,146,NA,NA,1516,1718,us ug,Belong,LillisComplex,i am here a lot for classes and i have found my own space here
318,1119,NA,NA,1617,1718,us ug,Belong,LillisComplex,nice study environment
468,1383,NA,NA,1718,1718,us ug,Belong,LillisComplex,i feel comfortable walking around and it is very labeled so i never feel lost
195,745,NA,NA,1617,1718,us ug,Belong,LillisComplex,a lot of my classes are in lillis
87,438,NA,NA,1516,1718,us ug,Belong,LillisComplex,major
304,1066,NA,NA,1617,1718,us ug,Belong,LillisComplex,i am surrounded by people who are taking the same courses that i am and everyone has similar interests
440,1334,NA,NA,1718,1718,us ug,Belong,LillisComplex,people come and go all the time and do not pay any attention to me
47,314,NA,NA,1516,1718,us ug,Belong,LillisComplex,all my classes and clubs and friends are here i spend literally all my days here
180,705,NA,NA,1617,1718,us ug,Belong,LillisComplex,i live near here
50,322,NA,NA,1516,1718,us ug,Belong,LillisComplex,fenton is the math building and i am a math major
513,1477,NA,NA,1718,1718,us ug,Belong,LillisComplex,i have most of my gen ed lectures there
144,613,NA,NA,1617,1718,us ug,Belong,LillisComplex,love the business school and every professor i have had in this building except ansett have been amazing
161,660,NA,NA,1617,1718,us ug,Belong,LillisComplex,i am a business major
216,794,NA,NA,1617,1718,us ug,Belong,LillisComplex,business admin is my major so i have had a lot of classes in this building making it a familiar and comfortable place for me i see a lot of familiar faces of both students and professors with whom i have had good experiences with in my classes i hope to participate in clubs that are based out of this building next year and potentially work in this building as well lillis is home to an academic program that is very important to my life right now and for the next couple of years
329,1149,NA,NA,1718,1718,us ug,Belong,LillisComplex,at lillis i am part of the warsaw sports business club in addition to having many of my classes there the community feel of the wsbc helped me fit in upon arriving at uo
466,1378,NA,NA,1718,1718,us ug,Belong,LillisComplex,i spend a lot of time studying here i could see myself switching to a business major
288,1013,NA,NA,1617,1718,us ug,Belong,LillisComplex,i study here
271,968,NA,NA,1617,1718,us ug,Belong,LillisComplex,there is always something going on it is easily accessible and inviting it is a place i can socialize but still get my work done
31,171,NA,NA,1516,1718,us ug,Belong,LillisComplex,lillis is always busy with people and booths it is a fun environment to be around
60,365,NA,NA,1516,1718,us ug,Belong,LillisComplex,a lot of my friends are business majors so i fit right in here
67,378,NA,NA,1516,1718,us ug,Belong,LillisComplex,the majority of my classes and club meetings are here
477,1397,NA,NA,1718,1718,us ug,Belong,LillisComplex,i take tons of classes here and it feels natural
387,1247,NA,NA,1718,1718,us ug,Belong,LillisComplex,i can find a nice quiet spot to work while being near others
406,1273,NA,NA,1718,1718,us ug,Belong,LillisComplex,i have had many classes in this building although it is the business building students of all sorts of majors come here for various reasons
505,1462,NA,NA,1718,1718,us ug,Belong,LillisComplex,this is where most of my major classes are so it nice being surrounded by people who are interested in the same stuff i am in
210,784,NA,NA,1617,1718,us ug,Belong,LillisComplex,we all have similar majors and goals
42,280,NA,NA,1516,1718,us ug,Belong,LillisComplex,i am a business major
217,796,NA,NA,1617,1718,us ug,Belong,LillisComplex,class
98,475,NA,NA,1516,1718,us ug,Belong,LillisComplex,i am a ba minor
534,1514,NA,NA,1718,1718,us ug,Belong,LillisComplex,it my major
66,375,NA,NA,1516,1718,us ug,Belong,LillisComplex,i am a business minor and i love the way i can go to this building area even though i am only a business minor i feel the atmosphere is welcoming and i feel like i belong
152,638,NA,NA,1617,1718,us ug,Belong,LillisComplex,it cozy and where most my classes surround it
34,182,NA,NA,1516,1718,us ug,Belong,LillisComplex,same major students
