id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,place,reason
31,171,NA,NA,1516,1718,us ug,Belong,Craft,this is a great place to get creative and meet students who like expressing themselves too everyone is always so nice and helpful
8,48,NA,NA,1516,1718,us ug,Belong,Craft,i am an art minor and take a lot of pride in my artwork here provides me with an outlet for that
18,102,NA,NA,1516,1718,us ug,Belong,Craft,i worked here freshman year and know the staff very well
24,138,NA,NA,1516,1718,us ug,Belong,Craft,i enjoy arts and crafts
41,276,NA,NA,1516,1718,us ug,Belong,Craft,open to everyone and so many variations of crafts
55,348,NA,NA,1516,1718,us ug,Belong,Craft,i enjoy the energy here and the people are always welcoming and friendly
76,418,NA,NA,1516,1718,us ug,Belong,Craft,i am an art based major so this is a place where i feel like i can find like minded students
77,419,NA,NA,1516,1718,us ug,Belong,Craft,it nice
81,425,NA,NA,1516,1718,us ug,Belong,Craft,very friendly community love art
87,438,NA,NA,1516,1718,us ug,Belong,Craft,activity
3,19,NA,NA,1516,1718,us ug,Belong,Craft,i work here
121,551,NA,NA,1617,1718,us ug,Belong,Craft,i do not use the craft center but it nice to pass by and see the projects people are working on
135,595,NA,NA,1617,1718,us ug,Belong,Craft,i am allowed to express myself in creative ways instead of turning to destructive behaviors i always feel welcomed here
141,605,NA,NA,1617,1718,us ug,Belong,Craft,because i like ceramics a lot
146,616,NA,NA,1617,1718,us ug,Belong,Craft,i love making art and the people there are very friendly
205,772,NA,NA,1617,1718,us ug,Belong,Craft,i have been a member for a long time and i like being around other creative people
230,845,NA,NA,1617,1718,us ug,Belong,Craft,likeminded artists
244,882,NA,NA,1617,1718,us ug,Belong,Craft,the staff at the craft center make me feel very welcomed and safe they are there to answer questions and offer help also because there are so many resources there for making art which is incredible and because it a quiet friendly place where it easy to find inspiration and feel welcome and to focus on creating or to find friends and do an activity with them
264,951,NA,NA,1617,1718,us ug,Belong,Craft,its a fun place
286,1007,NA,NA,1617,1718,us ug,Belong,Craft,i have taken classes at the craft center before so i know from experience that people are accepting of others in the center and they acknowledge new people who want to learn and they are very helpful
292,1026,NA,NA,1617,1718,us ug,Belong,Craft,its where i can destress after a long day
298,1044,NA,NA,1617,1718,us ug,Belong,Craft,i work here so naturally i feel very accepted the work environment is really friendly
301,1061,NA,NA,1617,1718,us ug,Belong,Craft,i love doing projects in the craft center because its a way for me to destress it accepting here and everyone is inclusive
311,1093,NA,NA,1617,1718,us ug,Belong,Craft,i work here and soend a lot of my time here
394,1256,NA,NA,1718,1718,us ug,Belong,Craft,it just really fun there should be more free events to promote inclusivity
433,1319,NA,NA,1718,1718,us ug,Belong,Craft,i love pottery
425,1309,NA,NA,1718,1718,us ug,Belong,Craft,the craft center is a great place to go and chill
511,1473,NA,NA,1718,1718,us ug,Belong,Craft,people always offer to help and assist me
537,1518,NA,NA,1718,1718,us ug,Belong,Craft,i can unwind and bond with others who enjoy crafting
510,1471,NA,NA,1718,1718,us ug,Belong,Craft,i am able to truly work on my art
472,1391,NA,NA,1718,1718,us ug,Belong,Craft,they are welcoming and i like their activities
521,1490,NA,NA,1718,1718,us ug,Belong,Craft,people are nice there and i enjoy the activities
490,1420,NA,NA,1718,1718,us ug,Belong,Craft,i take classes regularly from there
403,1269,NA,NA,1718,1718,us ug,Belong,Craft,lots of people learning new things
450,1357,NA,NA,1718,1718,us ug,Belong,Craft,i have not actually had the chance to go to the craft center but they have little classes that i have walked by and witnessed that i feel like i would really enjoy
482,1410,NA,NA,1718,1718,us ug,Belong,Craft,being around people that also like ceramics
435,1324,NA,NA,1718,1718,us ug,Belong,Craft,it fun love the craft center
230,845,NA,NA,1617,1718,us ug,Belong,Copy,i work here and i love it
94,462,NA,NA,1516,1718,us ug,Belong,DuckNest,warm inviting peers are open to talk and they have a lot of great resources free tea condoms tampons lube etc
173,687,NA,NA,1617,1718,us ug,Belong,DuckNest,my mental health is valued here
187,721,NA,NA,1617,1718,us ug,Belong,DuckNest,i feel like they are accepting of everyone and truly care about the wellbeing of students
208,779,NA,NA,1617,1718,us ug,Belong,DuckNest,there are staff to greet you when you walk in and they have a schedule posted that lets you know whether or not you want to walk in
218,800,NA,NA,1617,1718,us ug,Belong,DuckNest,it inviting to everyone
232,851,NA,NA,1617,1718,us ug,Belong,DuckNest,inclusive safe welcoming space my friends are mostly here so it nice to come unwind here
236,857,NA,NA,1617,1718,us ug,Belong,DuckNest,i spend pretty much all my time in here i work here all my friends work here i am always welcomed when i come into the space
253,912,NA,NA,1617,1718,us ug,Belong,DuckNest,one of my friends is a duck nest in charge person so it nice to go visit her and hang out when she on shift
